ID,Employment Type
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,1
573,1
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,0
603,1
604,1
605,0
606,0
607,0
608,1
609,1
610,0
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,1
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,1
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,0
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,0
732,0
733,1
734,1
735,0
736,0
737,1
738,1
739,0
740,0
741,1
742,1
743,1
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,0
811,1
