ID,label
0,1
1,0
2,7
3,2
4,7
5,2
6,7
7,0
8,1
9,5
10,3
11,5
12,6
13,4
14,4
15,4
16,5
17,7
18,3
19,7
20,7
21,4
22,7
23,4
24,7
25,7
26,7
27,1
28,1
29,7
30,0
31,0
32,7
33,0
34,7
35,4
36,4
37,7
38,4
39,7
40,0
41,0
42,2
43,3
44,4
45,0
46,4
47,7
48,4
49,7
50,1
51,1
52,4
53,1
54,5
55,2
56,4
57,2
58,4
59,0
60,7
61,4
62,2
63,2
64,7
65,7
66,7
67,7
68,1
69,7
70,5
71,4
72,7
73,7
74,4
75,4
76,0
77,7
78,5
79,0
80,2
81,5
82,7
83,4
84,2
85,0
86,4
87,2
88,5
89,4
90,2
91,6
92,2
93,5
94,0
95,4
96,4
97,0
98,4
99,4
100,2
101,0
102,0
103,7
104,4
105,5
106,6
107,2
108,1
109,2
110,0
111,7
112,2
113,7
114,2
115,2
116,4
117,5
118,7
119,3
120,4
121,3
122,7
123,7
124,5
125,2
126,7
127,0
128,2
129,4
130,6
131,4
132,5
133,4
134,0
135,7
136,7
137,7
138,7
139,2
140,3
141,4
142,2
143,2
144,5
145,7
146,2
147,4
148,7
149,7
150,1
151,3
152,7
153,7
154,5
155,2
156,3
157,2
158,1
159,4
160,0
161,0
162,3
163,5
164,1
165,7
166,4
167,7
168,7
169,0
170,4
171,4
172,5
173,4
174,7
175,4
176,4
177,2
178,7
179,6
180,4
181,4
182,1
183,7
184,2
185,7
186,7
187,4
188,0
189,7
190,4
191,4
192,5
193,1
194,7
195,2
196,7
197,1
198,7
199,2
200,7
201,0
202,2
203,4
204,4
205,7
206,7
207,5
208,7
209,7
210,2
211,2
212,5
213,7
214,4
215,2
216,4
217,4
218,4
219,1
220,2
221,3
222,1
223,6
224,7
225,7
226,4
227,4
228,0
229,4
230,7
231,0
232,4
233,2
234,7
235,4
236,4
237,2
238,2
239,7
240,4
241,7
242,7
243,2
244,7
245,4
246,4
247,5
248,6
249,5
250,2
251,7
252,4
253,4
254,7
255,2
256,2
257,1
258,4
259,0
260,2
261,3
262,0
263,7
264,4
265,1
266,7
267,4
268,0
269,2
270,7
271,4
272,4
273,2
274,4
275,2
276,2
277,7
278,2
279,7
280,7
281,2
282,4
283,3
284,3
285,2
286,1
287,3
288,7
289,0
290,7
291,7
292,6
293,7
294,2
295,5
296,7
297,7
298,4
299,4
300,1
301,5
302,4
303,7
304,4
305,7
306,4
307,1
308,7
309,2
310,0
311,7
312,7
313,7
314,2
315,2
316,4
317,0
318,4
319,5
320,7
321,6
322,7
323,0
324,5
325,7
326,7
327,7
328,2
329,4
330,3
331,7
332,7
333,1
334,7
335,2
336,0
337,7
338,7
339,0
340,1
341,7
342,2
343,4
344,7
345,5
346,0
347,2
348,0
349,7
350,6
351,7
352,5
353,4
354,0
355,1
356,4
357,7
358,0
359,0
360,4
361,4
362,4
363,2
364,2
365,7
366,2
367,4
368,7
369,1
370,0
371,7
372,2
373,7
374,0
375,5
376,0
377,2
378,5
379,0
380,7
381,7
382,7
383,7
384,0
385,1
386,0
387,2
388,4
389,7
390,4
391,2
392,5
393,7
394,2
395,2
396,2
397,7
398,4
399,2
400,6
401,4
402,7
403,4
404,6
405,5
406,7
407,0
408,4
409,7
410,4
411,7
412,5
413,3
414,7
415,0
416,5
417,4
418,5
419,0
420,6
421,2
422,4
423,0
424,2
425,7
426,2
427,7
428,7
429,7
430,2
431,5
432,2
433,7
434,5
435,7
436,2
437,5
438,1
439,1
440,7
441,0
442,0
443,4
444,7
445,0
446,4
447,7
448,2
449,7
450,7
451,4
452,7
453,7
454,4
455,2
456,4
457,5
458,7
459,5
460,4
461,0
462,2
463,1
464,7
465,4
466,2
467,6
468,1
469,7
470,4
471,3
472,4
473,3
474,4
475,5
476,5
477,7
478,7
479,5
480,0
481,7
482,7
483,5
484,4
485,4
486,3
487,7
488,4
489,7
490,4
491,7
492,7
493,2
494,5
495,4
496,7
497,4
498,4
499,7
500,7
501,2
502,2
503,4
504,0
505,1
506,7
507,7
508,4
509,4
510,2
511,2
512,1
513,7
514,4
515,0
516,7
517,3
518,0
519,2
520,2
521,3
522,7
523,4
524,7
525,7
526,7
527,0
528,0
529,4
530,4
531,4
532,4
533,1
534,2
535,5
536,4
537,2
538,4
539,0
540,4
541,2
542,4
543,5
544,0
545,4
546,3
547,2
548,4
549,2
550,2
551,7
552,4
553,7
554,7
555,2
556,1
557,7
558,0
559,0
560,4
561,7
562,0
563,4
564,7
565,0
566,4
567,7
568,4
569,2
570,2
571,4
572,0
573,4
574,6
575,4
576,1
577,6
578,4
579,4
580,2
581,7
582,7
583,5
584,7
585,4
586,2
587,0
588,5
589,7
590,7
591,2
592,7
593,7
594,0
595,4
596,4
597,4
598,7
599,4
600,0
601,7
602,7
603,1
604,4
605,6
606,7
607,5
608,0
609,4
610,7
611,6
612,1
613,7
614,1
615,7
616,5
617,7
618,4
619,7
620,5
621,2
622,0
623,2
624,4
625,2
626,4
627,5
628,2
629,4
630,7
631,0
632,1
633,4
634,2
635,5
636,2
637,5
638,7
639,0
640,0
641,7
642,2
643,4
644,4
645,7
646,7
647,0
648,2
649,4
650,6
651,7
652,3
653,4
654,4
655,2
656,4
657,6
658,6
659,4
660,4
661,2
662,6
663,1
664,5
665,2
666,4
667,2
668,4
669,2
670,2
671,5
672,2
673,5
674,4
675,7
676,3
677,3
678,0
679,4
680,7
681,5
682,7
683,3
684,4
685,7
686,1
687,3
688,4
689,0
690,7
691,1
692,2
693,4
694,4
695,2
696,4
697,7
698,4
699,4
700,4
701,4
702,3
703,4
704,4
705,4
706,1
707,4
708,7
709,5
710,0
711,5
712,7
713,4
714,4
715,7
716,7
717,1
718,7
719,4
720,4
721,7
722,5
723,4
724,7
725,4
726,2
727,3
728,0
729,4
730,7
731,2
732,7
733,4
734,0
735,5
736,7
737,4
738,7
739,7
740,2
741,4
742,4
743,4
744,7
745,7
746,7
747,7
748,1
749,2
750,4
751,4
752,7
753,3
754,0
755,2
756,6
757,4
758,7
759,4
760,2
761,5
762,0
763,7
764,5
765,7
766,4
767,2
768,1
769,4
770,7
771,5
772,7
773,0
774,7
775,0
776,4
777,7
778,5
779,0
780,4
781,4
782,2
783,7
784,2
785,4
786,7
787,4
788,4
789,7
790,4
791,4
792,5
793,1
794,1
795,0
796,0
797,2
798,3
799,4
800,4
801,4
802,2
803,7
804,4
805,4
806,4
807,6
808,4
809,2
810,7
811,4
812,4
813,2
814,0
815,7
816,4
817,1
818,6
819,7
820,7
821,4
822,5
823,4
824,7
825,5
826,5
827,4
828,7
829,2
830,2
831,2
832,7
833,1
834,4
835,0
836,7
837,7
838,6
839,4
840,4
841,1
842,4
843,0
844,7
845,2
846,7
847,0
848,7
849,3
850,7
851,4
852,5
853,3
854,7
855,7
856,4
857,3
858,5
859,1
860,4
861,4
862,7
863,0
864,0
865,4
866,4
867,1
868,7
869,4
870,2
871,1
872,4
873,7
874,0
875,2
876,1
877,4
878,4
879,7
880,7
881,5
882,3
883,4
884,7
885,2
886,7
887,7
888,2
889,7
890,4
891,7
892,2
893,1
894,4
895,4
896,7
897,0
898,5
899,7
900,4
901,2
902,0
903,5
904,4
905,2
906,4
907,7
908,4
909,2
910,4
911,2
912,0
913,6
914,7
915,4
916,4
917,6
918,0
919,0
920,4
921,7
922,7
923,1
924,5
925,2
926,7
927,2
928,0
929,2
930,6
931,7
932,5
933,4
934,5
935,4
936,7
937,4
938,4
939,0
940,3
941,2
942,2
943,7
944,7
945,7
946,1
947,4
948,1
949,5
950,4
951,7
952,0
953,4
954,7
955,7
956,4
957,7
958,1
959,7
960,2
961,2
962,5
963,4
964,0
965,7
966,7
967,2
968,3
969,7
970,2
971,2
972,4
973,7
974,1
975,4
976,2
977,4
978,4
979,4
980,7
981,4
982,4
983,0
984,7
985,0
986,0
987,5
988,2
989,4
990,7
991,2
992,0
993,7
994,0
995,7
996,7
997,4
998,4
999,7
1000,4
1001,0
1002,1
1003,4
1004,5
1005,4
1006,7
1007,0
1008,7
1009,7
1010,4
1011,6
1012,7
1013,2
1014,0
1015,2
1016,7
1017,4
1018,4
1019,7
1020,4
1021,1
1022,2
1023,7
1024,7
1025,7
1026,2
1027,4
1028,2
1029,7
1030,7
1031,0
1032,0
1033,7
1034,1
1035,6
1036,7
1037,2
1038,2
1039,7
1040,0
1041,4
1042,0
1043,3
1044,7
1045,4
1046,7
1047,5
1048,0
1049,4
1050,2
1051,1
1052,0
1053,4
1054,4
1055,0
1056,3
1057,2
1058,2
1059,7
1060,1
1061,4
1062,7
1063,0
1064,0
1065,7
1066,4
1067,4
1068,1
1069,7
1070,7
1071,0
1072,4
1073,4
1074,4
1075,7
1076,2
1077,4
1078,7
1079,4
1080,7
1081,6
1082,0
1083,7
1084,0
1085,7
1086,0
1087,0
1088,6
1089,0
1090,5
1091,4
1092,2
1093,7
1094,1
1095,5
1096,7
1097,4
1098,7
1099,7
1100,7
1101,2
1102,4
1103,7
1104,4
1105,1
1106,7
1107,4
1108,4
1109,7
1110,2
1111,7
1112,7
1113,5
1114,2
1115,4
1116,4
1117,0
1118,5
1119,7
1120,1
1121,4
1122,0
1123,4
1124,4
1125,2
1126,7
1127,7
1128,5
1129,4
1130,7
1131,7
1132,5
1133,1
1134,5
1135,2
1136,2
1137,7
1138,1
1139,2
1140,2
1141,2
1142,0
1143,1
1144,4
1145,0
1146,1
1147,2
1148,2
1149,0
1150,2
1151,7
1152,5
1153,4
1154,7
1155,4
1156,7
1157,1
1158,2
1159,5
1160,2
1161,1
1162,0
1163,5
1164,7
1165,5
1166,7
1167,1
1168,2
1169,5
1170,0
1171,5
1172,4
1173,4
1174,4
1175,7
1176,0
1177,2
1178,4
1179,4
1180,7
1181,5
1182,2
1183,7
1184,7
1185,5
1186,1
1187,7
1188,7
1189,7
1190,0
1191,2
1192,5
1193,4
1194,0
1195,4
1196,4
1197,2
1198,4
1199,1
1200,4
1201,4
1202,4
1203,7
1204,0
1205,4
1206,4
1207,4
1208,4
1209,6
1210,2
1211,7
1212,5
1213,4
1214,7
1215,6
1216,4
1217,7
1218,4
1219,2
1220,2
1221,4
1222,4
1223,0
1224,2
1225,4
1226,7
1227,7
1228,2
1229,2
1230,2
